-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               hipDeviceSynchronize         0.00%       7.989us         0.00%       7.989us       7.989us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.873s
Self CUDA time total: 741.324ms
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb         84975  
                                    hipMemcpyWithStream        31.17%     277.357ms        31.17%     277.357ms       4.782ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            58  
                           Memcpy HtoD (Host -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.280us         0.00%      25.280us       5.056us           0 b           0 b           0 b           0 b             5  
                                        hipLaunchKernel        42.62%     379.253ms        42.62%     379.253ms      11.824us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         32074  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     361.920us         0.05%     361.920us       4.468us           0 b           0 b           0 b           0 b            81  
                                         hipMemcpyAsync         0.09%     838.361us         0.09%     838.361us       3.899us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           215  
                                          hipHostMalloc         0.01%      61.360us         0.01%      61.360us      61.360us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.120us         0.00%      37.120us       4.640us           0 b           0 b           0 b           0 b             8  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     667.042us         0.09%     667.042us       3.117us           0 b           0 b           0 b           0 b           214  
                           Memcpy DtoH (Device -> Host)         0.00%       0.000us         0.00%       0.000us       0.000us     708.160us         0.09%     708.160us      13.114us           0 b           0 b           0 b           0 b            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     253.282us         0.03%     253.282us       9.381us           0 b           0 b           0 b           0 b            27  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     127.360us         0.02%     127.360us       4.392us           0 b           0 b           0 b           0 b            29  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      20.640us         0.00%      20.640us      10.320us           0 b           0 b           0 b           0 b             2  
                            hipGetDevicePropertiesR0600         0.36%       3.161ms         0.36%       3.161ms       0.416us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7601  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      22.880us         0.00%      22.880us      11.440us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     140.160us         0.02%     140.160us       5.006us           0 b           0 b           0 b           0 b            28  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.280us         0.00%       5.280us       5.280us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.080us         0.00%       6.080us       6.080us           0 b           0 b           0 b           0 b             1  
